ano,sigla_uf,id_municipio,taxa_motorizacao,nome_municipio,populacao
2017,RO,1100205,472.610677735082,Porto Velho,519436.0
2017,PE,2611606,381.39263278319,Recife,1633697.0
2017,AC,1200401,422.333958371909,Rio Branco,383443.0
2017,RJ,3304557,407.88213241607,Rio De Janeiro,6520266.0
2017,BA,2927408,284.290785399795,Salvador,2953986.0
2017,MA,2111300,333.783021390864,São Luís,1091868.0
2017,SP,3550308,636.045996834868,São Paulo,12106920.0
2017,PI,2211001,523.232235314597,Teresina,850198.0
2017,ES,3205309,501.277744120725,Vitória,363140.0
2018,SE,2800308,434.160992019281,Aracaju,648939.0
2018,PA,1501402,285.629575185834,Belém,1485732.0
2018,MG,3106200,797.15947066969,Belo Horizonte,2501576.0
2018,RR,1400100,482.593360222072,Boa Vista,375374.0
2018,DF,5300108,583.372188752961,Brasília,2974703.0
2018,MS,5002704,616.970998440801,Campo Grande,885711.0
2018,MT,5103403,632.712018222754,Cuiabá,607153.0
2018,PR,4106902,754.258457060743,Curitiba,1917185.0
2018,SC,4205407,684.987332066202,Florianópolis,492977.0
2018,CE,2304400,390.835968034769,Fortaleza,2643247.0
2018,GO,5208707,710.957708906502,Goiânia,1495705.0
2018,PB,2507507,455.279930727969,João Pessoa,800323.0
2018,AP,1600303,293.875624450504,Macapá,493634.0
2018,AL,2704302,304.461161893435,Maceió,1012382.0
2018,AM,1302603,312.286407848445,Manaus,2145444.0
2018,RN,2408102,438.30727861082,Natal,877640.0
2018,TO,1721000,579.455551558137,Palmas,291855.0
2018,RS,4314902,560.994820502454,Porto Alegre,1479101.0
2018,RO,1100205,493.579786384258,Porto Velho,519531.0
2018,PE,2611606,389.031489149694,Recife,1637834.0
2018,AC,1200401,422.719397739029,Rio Branco,401155.0
2018,RJ,3304557,405.145548755428,Rio De Janeiro,6688927.0
2018,BA,2927408,303.705313598819,Salvador,2857329.0
2018,MA,2111300,345.555314995336,São Luís,1094667.0
2018,SP,3550308,652.959061880126,São Paulo,12176866.0
2018,PI,2211001,538.577176408859,Teresina,861442.0
2018,ES,3205309,519.763193372541,Vitória,358267.0
